ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,No Of Other Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Amount withdrawn Other Card,Weekday,Festival Religion,Working Day,Holiday Sequence
Christ College ATM,22-09-2011,66,42,24,257700,187300,70400,Thursday,NH,W,WWW
Christ College ATM,23-09-2011,74,44,30,323300,220600,102700,Friday,NH,W,WWH
Christ College ATM,24-09-2011,84,54,30,304900,228300,76600,Saturday,NH,H,WHH
Christ College ATM,25-09-2011,45,21,24,168800,89700,79100,Sunday,NH,H,HHW
Christ College ATM,26-09-2011,58,28,30,186600,69200,117400,Monday,NH,W,HWW
Christ College ATM,27-09-2011,52,31,21,174500,113700,60800,Tuesday,NH,W,WWW
Christ College ATM,28-09-2011,72,37,35,233600,130700,102900,Wednesday,NH,W,WWW
Christ College ATM,29-09-2011,96,42,54,438400,205000,233400,Thursday,NH,W,WWW
Christ College ATM,30-09-2011,65,38,27,275100,206500,68600,Friday,NH,W,WWH
Christ College ATM,01-10-2011,100,34,66,376100,126300,249800,Saturday,NH,H,WHH
Christ College ATM,02-10-2011,80,20,60,263000,81900,181100,Sunday,N,H,HHW
Christ College ATM,03-10-2011,37,22,15,178100,106900,71200,Monday,NH,W,HWW
Christ College ATM,04-10-2011,67,40,27,265500,152200,113300,Tuesday,NH,W,WWH
Christ College ATM,05-10-2011,36,17,19,123600,69100,54500,Wednesday,H,H,WHH
Christ College ATM,06-10-2011,74,46,28,356100,240800,115300,Thursday,H,H,HHW
Christ College ATM,07-10-2011,86,54,32,360000,228600,131400,Friday,NH,W,WWH
Christ College ATM,08-10-2011,110,80,30,582300,455000,127300,Saturday,NH,H,WHH
Christ College ATM,09-10-2011,54,24,30,191800,89000,102800,Sunday,NH,H,HHW
Christ College ATM,10-10-2011,131,74,57,590500,359100,231400,Monday,NH,W,HWW
Christ College ATM,11-10-2011,83,57,26,423700,313900,109800,Tuesday,NH,W,WWW
Christ College ATM,12-10-2011,86,63,23,474500,394800,79700,Wednesday,NH,W,WWW
Christ College ATM,13-10-2011,75,45,30,297200,185300,111900,Thursday,NH,W,WWW
Christ College ATM,14-10-2011,55,35,20,234600,159300,75300,Friday,NH,W,WWH
Christ College ATM,15-10-2011,98,46,52,436600,231400,205200,Saturday,NH,H,WHH
Christ College ATM,16-10-2011,59,24,35,206600,86100,120500,Sunday,NH,H,HHW
Christ College ATM,17-10-2011,41,20,21,130300,62400,67900,Monday,NH,W,HWW
Christ College ATM,18-10-2011,112,44,68,473900,239700,234200,Tuesday,NH,W,WWW
Christ College ATM,19-10-2011,90,51,39,298800,184400,114400,Wednesday,NH,W,WWW
Christ College ATM,20-10-2011,132,56,76,681500,378500,303000,Thursday,NH,W,WWW
Christ College ATM,21-10-2011,104,36,68,433800,202500,231300,Friday,NH,W,WWH
Christ College ATM,22-10-2011,204,61,143,781500,277500,504000,Saturday,NH,H,WHH
Christ College ATM,23-10-2011,99,36,63,380700,181100,199600,Sunday,NH,H,HHW
Christ College ATM,24-10-2011,134,50,84,490400,255100,235300,Monday,NH,W,HWW
Christ College ATM,25-10-2011,100,56,44,424600,292400,132200,Tuesday,NH,W,WWH
Christ College ATM,26-10-2011,24,14,10,59900,30500,29400,Wednesday,H,H,WHW
Christ College ATM,27-10-2011,55,40,15,216400,177200,39200,Thursday,NH,W,HWW
Christ College ATM,28-10-2011,54,34,20,189000,116700,72300,Friday,NH,W,WWH
Christ College ATM,29-10-2011,56,38,18,237900,167900,70000,Saturday,NH,H,WHH
Christ College ATM,30-10-2011,42,18,24,105500,36700,68800,Sunday,NH,H,HHW
Christ College ATM,31-10-2011,58,37,21,263900,183100,80800,Monday,NH,W,HWW
Christ College ATM,01-11-2011,90,62,28,397000,278800,118200,Tuesday,NH,W,WWW
